name,latitude,longitude,Address,Mobile no.
Delhi University,28.6448,77.216721,"USICR Press Building near Zoology Department, North Campus, Chatra Marg University of Delhi Delhi-110007",9868861130
Ahmedabad,23.033863,72.585022,"HRDC Hostel, Teacher’s Quarters, Next to NRI Girls Hostel Near Hanumanji Temple, Gujarat University Campus, Navrangpura Ahmedabad -380009",9081122296
Bengaluru,12.971599,77.594566,"No.7/2, Ist Floor, 2nd Main, Palace Cross Road Bangalore – 560 020 Karnataka",9953234234
Guwahati,26.148043,91.731377," Annexure Pavilion Shilpgram, Panjabari Road Guwahati - 781 037 Assam",8119923578
Jammu,32.732998,74.864273," 46, Garden Avenue Behind Circuit House Talab Tillo Jammu",9560474594
Kolkata,22.572645,88.363892,"Rabindranath Tagore Centre 9A, Ho Chi Minh Sarani Kolkata – 700 071 West Bengal",8130190700
Lucknow,26.85,80.949997," 3rd Floor, Passport Bhawan Vipin Khand Gomti Nagar Lucknow -226010",7080921503
Mumbai,19.07609,72.877426," Videsh Bhavan Plot No.C-45,Block G Bandra-Kurla Complex, Bandra (East) Mumbai",9793050044
Patna,25.5941,85.1376,"Officers Flats Balley Road, Opposite Suchna Bhavan Patna Bihar",6200886755
Pune,18.5204,73.8567," Savitribai Phule University, Ganeshkhind Pune - 411 007 Maharashtra ",9899087491
Shillong,25.5788,91.8933,"Brookside Cottage, New Assembly Compound, Shillong-793 004 Meghalaya",0364-2228573
